@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
94,'2026/06/05 14:45:07:700',1,0.181414,0,0.027834,0.33937,0.032657,0,0,0.636703,?
95,'2026/06/05 14:45:07:732',1,0.173282,0,0.002032,0.362766,0.042457,0,0,0.637164,?
96,'2026/06/05 14:45:07:765',1,0.171579,0,0.039249,0.347933,0.030336,0,0,0.631814,?
97,'2026/06/05 14:45:07:802',1,0.241933,0,0.073802,0.388105,0.011131,0,0,0.553143,?
98,'2026/06/05 14:45:07:834',1,0.146996,0,0.122721,0.313855,0,0.017121,0,0.624567,?
99,'2026/06/05 14:45:07:868',1,0.157133,0,0.055514,0.137998,0.092127,0,0,0.723267,?
100,'2026/06/05 14:45:07:901',1,0.15968,0,0.013027,0.09273,0.095852,0,0,0.774194,?
101,'2026/06/05 14:45:07:935',1,0.011645,0,0,0.180342,0.17501,0,0,0.770627,?
102,'2026/06/05 14:45:07:966',1,0.021091,0,0,0,0.060014,0,0,0.949309,?
103,'2026/06/05 14:45:08:002',1,0.164815,0,0.028118,0,0.159789,0,0,0.779549,?
104,'2026/06/05 14:45:08:033',1,0.086403,0,0,0,0.221265,0,0,0.807707,?
105,'2026/06/05 14:45:08:068',1,0.102303,0,0,0.0662,0.182938,0,0,0.78035,?
106,'2026/06/05 14:45:08:100',1,0.119817,0,0,0,0.202123,0,0,0.798787,?
107,'2026/06/05 14:45:08:133',1,0.057471,0,0.047683,0.043969,0.139896,0,0,0.819363,?
108,'2026/06/05 14:45:08:165',1,0.060997,0,0,0.068686,0.21424,0,0,0.785048,?
109,'2026/06/05 14:45:08:202',1,0.153831,0,0,0.280106,0.181349,0,0,0.615446,?
110,'2026/06/05 14:45:08:233',1,0.149694,0,0.022573,0.167597,0.127981,0,0,0.707597,?
111,'2026/06/05 14:45:08:275',1,0.071832,0,0.08493,0.211489,0.125415,0,0,0.69146,?
112,'2026/06/05 14:45:08:336',1,0.154194,0,0.075402,0.141609,0.105848,0,0,0.701841,?
113,'2026/06/05 14:45:08:364',1,0.175042,0,0.054292,0.016675,0.13809,0,0,0.759938,?
114,'2026/06/05 14:45:08:402',1,0.129262,0,0.057039,0.160158,0.146199,0,0,0.692089,?
115,'2026/06/05 14:45:08:436',1,0,0,0,0.218901,0.132751,0,0,0.780218,?
116,'2026/06/05 14:45:08:467',1,0.144901,0,0,0.148661,0.186774,0,0,0.69979,?
117,'2026/06/05 14:45:08:500',1,0.058543,0,0,0.295697,0.246428,0,0,0.624583,?
118,'2026/06/05 14:45:08:535',1,0,0,0,0.161871,0.201317,0,0.178857,0.661222,?
119,'2026/06/05 14:45:08:566',1,0,0,0,0.289814,0.24654,0,0.407585,0.410038,?
120,'2026/06/05 14:45:08:598',1,0,0,0,0.228867,0.179426,0,0.452844,0.461789,?
121,'2026/06/05 14:45:08:635',1,0,0,0,0.165225,0.184163,0,0.584588,0.416265,?
122,'2026/06/05 14:45:08:670',1,0,0,0,0.210153,0.197697,0,0.633624,0.349079,?
123,'2026/06/05 14:45:08:699',1,0,0,0,0.16031,0.192591,0,0.685777,0.350826,?
124,'2026/06/05 14:45:08:730',1,0,0,0,0.142227,0.153673,0,0.689038,0.384413,?
125,'2026/06/05 14:45:08:768',1,0.039006,0,0,0,0.099969,0,0.819424,0.401,?
126,'2026/06/05 14:45:08:800',1,0.059271,0,0,0,0.132316,0,0.899282,0.318207,?
127,'2026/06/05 14:45:08:834',1,0,0,0,0,0.152293,0,0.983125,0.290364,?
128,'2026/06/05 14:45:08:871',1,0.032731,0,0,0,0.115017,0,0.980408,0.294902,?
129,'2026/06/05 14:45:08:896',1,0.20069,0,0,0,0.109034,0,1,0.181423,?
130,'2026/06/05 14:45:08:937',1,0.059852,0,0,0,0.066505,0,1,0.296026,?
131,'2026/06/05 14:45:08:965',1,0.092981,0,0,0,0.12547,0,1,0.238468,?
132,'2026/06/05 14:45:09:002',1,0.016126,0,0,0,0.129089,0,1,0.284241,?
133,'2026/06/05 14:45:09:033',1,0,0,0,0,0.184649,0,1,0.259594,?
134,'2026/06/05 14:45:09:068',1,0.002951,0,0,0.029303,0.224489,0,0.934226,0.255644,?
135,'2026/06/05 14:45:09:102',1,0.046504,0,0,0.027392,0.19314,0,0.892835,0.275081,?
136,'2026/06/05 14:45:09:134',1,0.125052,0,0,0.113815,0.234723,0,1,0.079006,?
137,'2026/06/05 14:45:09:170',1,0,0,0,0.111598,0.238109,0,0.945319,0.190608,?
138,'2026/06/05 14:45:09:198',1,0,0,0,0.004431,0.186324,0,0.983584,0.266038,?
139,'2026/06/05 14:45:09:231',1,0,0,0,0.075665,0.192204,0,0.997716,0.209009,?
140,'2026/06/05 14:45:09:267',1,0,0,0,0.195119,0.212195,0,0.976889,0.134873,?
141,'2026/06/05 14:45:09:301',1,0,0,0,0.223856,0.196272,0,0.974927,0.128091,?
142,'2026/06/05 14:45:09:335',1,0,0,0,0.245928,0.1986,0,0.988916,0.104097,?
143,'2026/06/05 14:45:09:363',1,0,0,0,0.205389,0.215871,0,0.93905,0.149806,?
144,'2026/06/05 14:45:09:401',1,0.025461,0,0,0.267585,0.261099,0,0.993953,0.032438,?
145,'2026/06/05 14:45:09:433',1,0.030642,0,0,0.289957,0.249751,0,1,0.018532,?
146,'2026/06/05 14:45:09:469',1,0.038882,0,0,0.169554,0.243347,0,1,0.092635,?
147,'2026/06/05 14:45:09:500',1,0.062377,0,0,0.259837,0.227313,0,1,0.031546,?
148,'2026/06/05 14:45:09:534',1,0,0,0,0.302547,0.252871,0,1,0.027864,?
149,'2026/06/05 14:45:09:569',1,0.020759,0,0,0.271134,0.234975,0,1,0.045707,?
150,'2026/06/05 14:45:09:602',1,0.193979,0,0,0.162331,0.069593,0,0.881552,0.18284,?
151,'2026/06/05 14:45:09:635',1,0.163746,0,0,0.084891,0,0.015413,0.908876,0.266922,?
152,'2026/06/05 14:45:09:669',1,0.160698,0,0,0.09066,0,0.003592,0.891213,0.283647,?
153,'2026/06/05 14:45:09:701',1,0.179995,0,0,0.088726,0.003576,0,0.921022,0.254175,?
154,'2026/06/05 14:45:09:734',1,0.147422,0,0,0.087014,0,0.007028,0.894822,0.289822,?
155,'2026/06/05 14:45:09:769',1,0.100888,0,0,0.092954,0.018096,0,0.849437,0.336641,?
156,'2026/06/05 14:45:09:802',1,0.113941,0,0,0.057856,0,0.012264,0.897074,0.324291,?
157,'2026/06/05 14:45:09:833',1,0.142399,0,0.049469,0,0.003206,0,0.832986,0.357463,?
158,'2026/06/05 14:45:09:869',1,0.095874,0,0.005433,0.008419,0.012116,0,0.888421,0.368585,?
159,'2026/06/05 14:45:09:899',1,0.127919,0,0,0.142308,0.012073,0,0.844931,0.29548,?
160,'2026/06/05 14:45:09:936',1,0.121046,0,0,0.040039,0,0.027994,0.879343,0.332237,?
161,'2026/06/05 14:45:09:971',1,0.088213,0,0.022985,0.025948,0,0.033576,0.818416,0.381789,?
162,'2026/06/05 14:45:10:000',1,0.116508,0,0.070835,0,0,0.040313,0.858004,0.321463,?
163,'2026/06/05 14:45:10:034',1,0.104286,0,0.095868,0,0,0.048214,0.861589,0.306277,?
164,'2026/06/05 14:45:10:071',1,0.145982,0,0.044149,0.014204,0,0.029475,0.891153,0.296899,?
165,'2026/06/05 14:45:10:098',1,0.095094,0,0.011375,0.019599,0,0.012422,0.872991,0.367824,?
166,'2026/06/05 14:45:10:133',1,0.078608,0,0.05086,0,0,0.030315,0.888778,0.34465,?
167,'2026/06/05 14:45:10:169',1,0.011901,0,0.012104,0.059097,0.001169,0,0.931312,0.365261,?
168,'2026/06/05 14:45:10:201',1,0.088814,0,0.014823,0,0.053123,0,0.915726,0.329697,?
169,'2026/06/05 14:45:10:234',1,0.056951,0,0,0,0.094926,0,0.965118,0.301878,?
170,'2026/06/05 14:45:10:269',1,0.224846,0,0.043988,0,0.014075,0,1,0.198182,?
171,'2026/06/05 14:45:10:304',1,0.043738,0,0.051146,0,0.004216,0,1,0.313063,?
172,'2026/06/05 14:45:10:334',1,0,0,0.026329,0.060188,0.006143,0,1,0.317087,?
173,'2026/06/05 14:45:10:369',1,0.004748,0,0.046937,0.005253,0.010918,0,1,0.33259,?
174,'2026/06/05 14:45:10:400',1,0,0,0.095181,0.016353,0,0.057549,1,0.269323,?
175,'2026/06/05 14:45:10:434',1,0.016419,0,0.054786,0.035364,0.005228,0,1,0.305127,?
176,'2026/06/05 14:45:10:468',1,0.04163,0,0.103135,0,0,0.042615,1,0.257888,?
177,'2026/06/05 14:45:10:500',1,0.100828,0,0.104192,0,0,0.036708,1,0.22392,?
178,'2026/06/05 14:45:10:532',1,0.117614,0,0.064527,0,0,0.009633,1,0.255141,?
179,'2026/06/05 14:45:10:569',1,0.058818,0,0,0.195993,0.030081,0,1,0.196942,?
180,'2026/06/05 14:45:10:601',1,0.044579,0,0,0.142236,0.175291,0,1,0.148683,?
181,'2026/06/05 14:45:10:635',1,0,0,0,0.149303,0.166669,0,1,0.177517,?
182,'2026/06/05 14:45:10:668',1,0,0,0,0.19926,0.12549,0,1,0.172031,?
183,'2026/06/05 14:45:10:702',1,0.013016,0,0,0.203237,0.118103,0,1,0.166027,?
184,'2026/06/05 14:45:10:734',1,0,0,0,0.263642,0.151684,0,1,0.115421,?
185,'2026/06/05 14:45:10:770',1,0,0,0,0.200403,0.101164,0,1,0.186521,?
186,'2026/06/05 14:45:10:799',1,0,0,0,0.220765,0.148536,0,1,0.144187,?
187,'2026/06/05 14:45:10:835',1,0,0,0,0.31734,0.159187,0,1,0.077171,?
188,'2026/06/05 14:45:10:869',1,0.015937,0,0,0.226669,0.202175,0,1,0.097012,?
189,'2026/06/05 14:45:10:903',1,0.048895,0,0,0.224038,0.136554,0,1,0.119071,?
190,'2026/06/05 14:45:10:936',1,0.041866,0,0,0.342915,0.14267,0,1,0.045343,?
191,'2026/06/05 14:45:10:969',1,0,0,0,0.26212,0.099935,0,1,0.148716,?
192,'2026/06/05 14:45:11:000',1,0,0,0,0.23692,0.141156,0,1,0.138703,?
193,'2026/06/05 14:45:11:034',1,0.05858,0,0,0,0.1586,0,1,0.239263,?
194,'2026/06/05 14:45:11:069',1,0,0,0,0.075994,0.153686,0,0.971873,0.249029,?
195,'2026/06/05 14:45:11:103',1,0,0,0,0.175282,0.177409,0,0.967671,0.174774,?
196,'2026/06/05 14:45:11:136',1,0,0,0,0.153097,0.211644,0,0.673373,0.351179,?
197,'2026/06/05 14:45:11:170',1,0,0,0,0.121465,0.178641,0,0.798749,0.313216,?
198,'2026/06/05 14:45:11:201',1,0,0,0,0.22743,0.264455,0,0.758895,0.218263,?
199,'2026/06/05 14:45:11:236',1,0,0,0,0.502095,0.189848,0,0.87197,0.022554,?
200,'2026/06/05 14:45:11:268',1,0,0,0,0.487736,0.181087,0,0.810859,0.075199,?
201,'2026/06/05 14:45:11:303',1,0,0,0,0.290613,0.141077,0,0.726691,0.276012,?
202,'2026/06/05 14:45:11:337',1,0,0,0,0.387956,0.125955,0,0.766258,0.199894,?
203,'2026/06/05 14:45:11:367',1,0,0,0,0.51694,0.141415,0,0.80013,0.088447,?
204,'2026/06/05 14:45:11:402',1,0,0,0,0.518385,0.152869,0,0.780787,0.092474,?
205,'2026/06/05 14:45:11:434',1,0,0,0,0.514845,0.164127,0,0.827794,0.058271,?
206,'2026/06/05 14:45:11:469',1,0,0,0,0.51914,0.226337,0,0.90964,0,?
207,'2026/06/05 14:45:11:502',1,0.014793,0,0,0.495566,0.225458,0,0.806449,0.036084,?
208,'2026/06/05 14:45:11:534',1,0.016298,0,0,0.412955,0.254498,0,0.717163,0.124429,?
209,'2026/06/05 14:45:11:570',1,0.085764,0,0,0.35765,0.218389,0,0.750883,0.11707,?
210,'2026/06/05 14:45:11:603',1,0.038749,0,0,0.285784,0.194251,0,0.818966,0.163906,?
211,'2026/06/05 14:45:11:636',1,0,0,0,0.205894,0.17868,0,0.801951,0.258422,?
212,'2026/06/05 14:45:11:669',1,0,0,0,0.149335,0.205049,0,0.834717,0.256812,?
213,'2026/06/05 14:45:11:701',1,0,0,0,0.382985,0.198264,0,0.783047,0.147315,?
214,'2026/06/05 14:45:11:735',1,0,0,0,0,0,0,0,1,?
215,'2026/06/05 14:45:11:767',1,0,0,0,0,0,0,0,1,?
216,'2026/06/05 14:45:11:802',1,0,0,0,0,0,0,0,1,?
217,'2026/06/05 14:45:11:833',1,0,0,0,0,0,0,0,1,?
218,'2026/06/05 14:45:11:871',1,0,0,0,0,0,0,0,1,?
219,'2026/06/05 14:45:11:902',1,0,0,0,0,0,0,0,1,?
220,'2026/06/05 14:45:11:936',1,0,0,0,0,0,0,0,1,?
221,'2026/06/05 14:45:11:971',1,0,0,0,0,0,0,0,1,?
222,'2026/06/05 14:45:12:001',1,0,0,0,0,0,0,0,1,?
223,'2026/06/05 14:45:12:036',1,0,0,0,0,0,0,0,1,?
224,'2026/06/05 14:45:12:072',1,0,0,0,0,0,0,0,1,?
225,'2026/06/05 14:45:12:100',1,0,0,0,0,0,0,0,1,?
226,'2026/06/05 14:45:12:133',1,0,0,0,0,0,0,0,1,?
227,'2026/06/05 14:45:12:168',1,0,0,0,0,0,0,0,1,?
228,'2026/06/05 14:45:12:202',1,0,0,0,0,0,0,0,1,?
229,'2026/06/05 14:45:12:234',1,0,0,0,0,0,0,0,1,?
230,'2026/06/05 14:45:12:268',1,0,0,0,0,0,0,0,1,?
231,'2026/06/05 14:45:12:303',1,0,0,0,0,0,0,0,1,?
232,'2026/06/05 14:45:12:335',1,0,0,0,0,0,0,0,1,?
233,'2026/06/05 14:45:12:368',1,0,0,0,0,0,0,0,1,?
234,'2026/06/05 14:45:12:402',1,0,0,0,0,0,0,0,1,?
235,'2026/06/05 14:45:12:436',1,0,0,0,0,0,0,0,1,?
236,'2026/06/05 14:45:12:470',1,0,0,0,0,0,0,0,1,?
237,'2026/06/05 14:45:12:504',1,0,0,0,0,0,0,0,1,?
238,'2026/06/05 14:45:12:535',1,0,0,0,0,0,0,0,1,?
239,'2026/06/05 14:45:12:568',1,0.015304,0,0.033236,0.009377,0,0.018284,0,0.952374,?
240,'2026/06/05 14:45:12:603',1,0,0.000029,0,0.020411,0,0.007779,0,0.982363,?
241,'2026/06/05 14:45:12:636',1,0.018244,0,0,0.014831,0.004283,0,0,0.976651,?
242,'2026/06/05 14:45:12:670',1,0,0,0,0.064086,0,0.017626,0,0.94893,?
243,'2026/06/05 14:45:12:703',1,0.020567,0.000143,0,0.023369,0,0.006538,0,0.968364,?
244,'2026/06/05 14:45:12:728',1,0.001165,0.000058,0,0.054028,0,0.010535,0,0.958884,?
245,'2026/06/05 14:45:12:763',1,0,0.000088,0,0.063069,0.014623,0,0,0.951388,?
246,'2026/06/05 14:45:12:798',1,0,0.000335,0,0.061605,0,0.017097,0.019661,0.938315,?
247,'2026/06/05 14:45:12:831',1,0,0,0,0.088918,0,0.005527,0.00705,0.936566,?
248,'2026/06/05 14:45:12:866',1,0.015496,0.000926,0,0.002424,0,0.009528,0.046364,0.953288,?
249,'2026/06/05 14:45:12:896',1,0,0.000794,0,0.064414,0,0.004533,0,0.956412,?
250,'2026/06/05 14:45:12:928',1,0.004346,0.001238,0,0.042601,0,0.034748,0.040581,0.922803,?
251,'2026/06/05 14:45:12:964',1,0.012741,0.001599,0,0.067373,0,0.032207,0.034336,0.907339,?
252,'2026/06/05 14:45:13:000',1,0.08506,0,0.05078,0,0,0.104559,0,0.849751,?
253,'2026/06/05 14:45:13:037',1,0.044067,0.001479,0.163213,0,0,0.076605,0,0.821647,?
254,'2026/06/05 14:45:13:070',1,0.086066,0.007688,0.168587,0,0,0.067288,0,0.793982,?
255,'2026/06/05 14:45:13:103',1,0.209505,0.007017,0.089403,0,0,0.018046,0,0.797518,?
256,'2026/06/05 14:45:13:134',1,0.140781,0.007314,0.164003,0,0,0.03288,0,0.784389,?
257,'2026/06/05 14:45:13:172',1,0.151983,0.002298,0.026264,0,0.01506,0,0,0.877747,?
258,'2026/06/05 14:45:13:200',1,0.112083,0,0.08083,0,0,0.012043,0,0.871903,?
259,'2026/06/05 14:45:13:237',1,0.23017,0.001188,0.095284,0,0,0.052455,0,0.763064,?
260,'2026/06/05 14:45:13:270',1,0.177201,0.003134,0.144408,0,0,0.065041,0,0.756385,?
261,'2026/06/05 14:45:13:304',1,0.096064,0,0.061662,0,0.028252,0,0,0.883764,?
262,'2026/06/05 14:45:13:336',1,0.176753,0.001277,0.124763,0,0,0.020387,0,0.798013,?
263,'2026/06/05 14:45:13:370',1,0.332835,0.001044,0.143103,0,0,0.01104,0,0.694986,?
264,'2026/06/05 14:45:13:403',1,0.269948,0.002744,0.19706,0,0,0.076839,0,0.658381,?
265,'2026/06/05 14:45:13:436',1,0.164894,0,0.29277,0,0,0.097359,0,0.653111,?
266,'2026/06/05 14:45:13:470',1,0.11536,0,0.231656,0,0,0.014409,0,0.774109,?
267,'2026/06/05 14:45:13:503',1,0.191767,0,0.233586,0,0,0.046959,0,0.704805,?
